region,price,year,cylinders,fuel,odometer,title_status,transmission,drive,lat,long
myrtle beach,23480,2017.0,6,1,71943.0,1,1,1,33.771328,-79.019358
myrtle beach,23480,2017.0,6,1,71943.0,1,1,1,33.771328,-79.019358
myrtle beach,23480,2017.0,6,1,71943.0,1,1,1,33.771428,-79.020281
myrtle beach,23480,2017.0,6,1,71943.0,1,1,1,33.771328,-79.019358
rapid city / west SD,29999,2019.0,6,1,10994.0,1,1,1,40.374375,-104.694103
chattanooga,32900,2019.0,6,1,16524.0,1,1,1,36.4641,-86.65828
chattanooga,31900,2019.0,6,1,29497.0,1,1,1,36.4641,-86.65828
chattanooga,36700,2019.0,6,1,14985.0,1,1,1,36.4641,-86.65828
chattanooga,32900,2019.0,6,1,15294.0,1,1,1,36.4641,-86.65828
chattanooga,14882,2015.0,6,1,151780.0,2,1,1,36.107596,-86.743824
chattanooga,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
chattanooga,31900,2019.0,6,1,29497.0,1,1,1,36.4641,-86.65828
chattanooga,19442,2018.0,6,1,104624.0,2,1,1,36.107596,-86.743824
chattanooga,24999,2016.0,6,1,86000.0,1,1,1,36.1055,-83.946
chattanooga,34500,2019.0,6,1,7646.0,1,1,1,36.4641,-86.65828
chattanooga,32700,2019.0,6,1,13646.0,1,1,1,36.4641,-86.65828
chattanooga,34800,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
chattanooga,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
chattanooga,19995,2015.0,6,1,150000.0,1,1,1,35.025,-85.1459
chattanooga,38300,2020.0,6,1,7540.0,1,1,1,36.4641,-86.65828
chattanooga,32800,2018.0,6,1,43479.0,1,1,1,36.4641,-86.65828
chattanooga,35200,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
knoxville,36700,2019.0,6,1,14985.0,1,1,1,36.4641,-86.65828
knoxville,31900,2019.0,6,1,29497.0,1,1,1,36.4641,-86.65828
knoxville,32900,2019.0,6,1,15294.0,1,1,1,36.4641,-86.65828
knoxville,32900,2019.0,6,1,16524.0,1,1,1,36.4641,-86.65828
knoxville,14882,2015.0,6,1,151780.0,2,1,1,36.107596,-86.743824
knoxville,31900,2019.0,6,1,29497.0,1,1,1,36.4641,-86.65828
knoxville,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
knoxville,19442,2018.0,6,1,104624.0,2,1,1,36.107596,-86.743824
knoxville,24999,2016.0,6,1,86000.0,1,1,1,36.1055,-83.946
knoxville,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
knoxville,34500,2019.0,6,1,7646.0,1,1,1,36.4641,-86.65828
knoxville,34800,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
knoxville,32700,2019.0,6,1,13646.0,1,1,1,36.4641,-86.65828
knoxville,34800,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
knoxville,38300,2020.0,6,1,7540.0,1,1,1,36.4641,-86.65828
knoxville,32800,2018.0,6,1,43479.0,1,1,1,36.4641,-86.65828
memphis,32900,2019.0,6,1,16524.0,1,1,1,36.4641,-86.65828
memphis,32900,2019.0,6,1,15294.0,1,1,1,36.4641,-86.65828
memphis,36700,2019.0,6,1,14985.0,1,1,1,36.4641,-86.65828
memphis,31900,2019.0,6,1,29497.0,1,1,1,36.4641,-86.65828
memphis,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
memphis,31900,2019.0,6,1,29497.0,1,1,1,36.4641,-86.65828
memphis,34500,2019.0,6,1,7646.0,1,1,1,36.4641,-86.65828
memphis,32700,2019.0,6,1,13646.0,1,1,1,36.4641,-86.65828
memphis,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
memphis,34800,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
memphis,38300,2020.0,6,1,7540.0,1,1,1,36.4641,-86.65828
memphis,34800,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
memphis,32800,2018.0,6,1,43479.0,1,1,1,36.4641,-86.65828
nashville,31900,2019.0,6,1,29497.0,1,1,1,36.4641,-86.65828
nashville,36700,2019.0,6,1,14985.0,1,1,1,36.4641,-86.65828
nashville,32900,2019.0,6,1,16524.0,1,1,1,36.4641,-86.65828
nashville,32900,2019.0,6,1,15294.0,1,1,1,36.4641,-86.65828
nashville,17800,2015.0,6,1,140000.0,1,1,1,36.188693,-86.269042
nashville,14882,2015.0,6,1,151780.0,2,1,1,36.107596,-86.743824
nashville,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
nashville,31900,2019.0,6,1,29497.0,1,1,1,36.4641,-86.65828
nashville,19442,2018.0,6,1,104624.0,2,1,1,36.107596,-86.743824
tri-cities,24999,2016.0,6,1,86000.0,1,1,1,36.1055,-83.946
austin,14500,2015.0,4,1,106580.0,1,1,1,30.231,-97.7434
